year,url
2023,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
2022,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
2021,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
2020,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
2019,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
2018,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
2017,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
2016,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
2015,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
2014,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm
